asin,text,title,location_and_date,verified,rating
B01070FUDE,nice,Four Stars,Reviewed in India on 1 August 2018,True,4.0
B01070FUDE,"No mention about expiry date,lplease mention",Product is good,Reviewed in India on 1 July 2019,True,3.0
B01070FUDE,"Doctor said, ""Your arteries look like Pennsylvania highways in spring...clogged with non-working construction crews and pretty much impassable. So you might wanna try this first and then we'll start blasting."" Well, not blasting exactly, but...I tried a different fish oil and decided it would be easier to hook up a pissed-off Angus bull to a milking machine than get this thing to go down my throat. Hubby suggested I try something smaller (that's a change in tack) and I ordered these. I spent five minutes actually sniffing the bottle and trying to figure out if they'd mislabeled a bottle of baking ingredients. It smells just like vanilla! It was also about a third of the size of the horse pill I'd been trying to swallow. It's only been a few days, but at least now my Doc might not have to break out the C4.",Smells like vanilla?,Reviewed in the United States on 8 September 2023,True,5.0
B01070FUDE,"Who knew?!  My eye Dr. recommended me taking this for DRY EYE!  I take one daily & it has helped tremendously!  I still can't sleep in contacts; however, it has helped overall.  It is also good for the HEART so there . . . 2 for 1 Ha!  It has a mild vanilla taste, so I don't mind taking it & you don't burp up a fishy aftertaste.  I've been using it for a couple of years.",Great for DRY EYE !!!,Reviewed in the United States on 14 September 2023,True,5.0
B01070FUDE,Have been taking this for years.  Happy with the seller,Happy with the product,Reviewed in the United States on 24 September 2023,True,5.0
B01070FUDE,does what it says it does.,works....,Reviewed in the United States on 7 September 2023,True,5.0
B01070FUDE,As advertised,Great product,Reviewed in the United States on 9 September 2023,True,5.0
B01070FUDE,"These are part of a daily regiment of supplement's I give my Mother every day.  She believes they are helpful.  Since she's 91, I'm not going to argue.  Cheers!","My Mom swears by Megared Krill Oil, she's 91.  Maybe she knows something?!!",Reviewed in the United States on 23 August 2023,True,5.0
B01070FUDE,Been taking for years love it,Vitamin,Reviewed in the United States on 30 August 2023,True,5.0
B01070FUDE,These are the only Omega 3 pills that I've found that don't taste unpleasant and don't have unpleasant aftertaste .Well packaged and opened the bottle to a pleasing mild vanilla fragrance. Highly recommend.,Pleasant taste,Reviewed in the United States on 13 August 2023,True,5.0
B01070FUDE,It’s what I usually get,It’s what I expected,Reviewed in the United States on 27 August 2023,True,5.0
B01070FUDE,"I started taking these as an enhancement supplement. Since I do not have any health concerns at the moment, I added them as a preventive measure.The taste is much better than most competitors, they are easy to swallow, and this size is much more economical in price than the others. So far, no complaints.",Economical and easy to use,Reviewed in the United States on 20 July 2023,True,5.0
B01070FUDE,,just what I ordered,Reviewed in the United States on 6 August 2023,True,4.0
B01070FUDE,No after taste and it dissolves completely.  It helps keep your good cholesterol high.,It dissolves completely,Reviewed in the United States on 11 August 2023,True,5.0
