asin,text,title,location_and_date,verified,rating
B0BZVWHB6Y,"Les capsules sont faciles à avaler, ce qui est un gros avantage pour quelqu'un comme moi qui n'aime pas les compléments difficiles à prendre. De plus, avec 2000mg d'huile de poissons sauvages par dose, je me sens rassuré quant à la qualité et à la pureté de ce produit. 🌟En ce qui concerne les effets, je ressens une nette amélioration de ma concentration et de ma clarté mentale. Cela a été particulièrement utile lors de mon retour au travail et à l'école après les vacances estivales. J'ai aussi remarqué que ma peau semblait plus saine, un bonus inattendu ! 💁‍♂️Un autre point positif est le QR CODE inclus avec le produit, qui permet d'obtenir plus d'informations sur la composition, les bienfaits et les recommandations d'utilisation. Cela ajoute une dimension supplémentaire à la transparence de la marque et à la confiance que l'on peut avoir en ce produit. 📲Bien sûr, il est important de noter que les effets peuvent varier d'une personne à l'autre, mais dans l'ensemble, je suis très satisfait de ces Omega 3. Ils font maintenant partie de ma routine quotidienne pour rester en pleine forme tout au long de la rentrée. 😊Si vous recherchez un moyen naturel d'augmenter votre vitalité et de soutenir votre santé globale, je vous recommande vivement d'essayer ces Omega 3. Ils peuvent être un excellent complément à votre routine quotidienne pour rester au top de votre forme ! 👍J'espère que cette évaluation vous sera utile pour prendre une décision éclairée concernant ce produit. Bonne rentrée 2023 à tous ! 📚✏️",Pour le cerveau & made in france,Commenté en France le 25 septembre 2023,True,"5,0"
B0BZVWHB6Y,"Produit conforme à la description.Livraison rapide.Je ne peux pour l'instant pas juger de l'efficacité de ces compléments alimentaires mais je ne manquerai pas de faire un retour à la fin de ma cure.En revanche, mes premières impressions sont positives: ingrédients qui semblent de bonne qualité (poissons sauvages) et contenant en verre (👍 pour l'écologie) et qui plus est, en verre ambré (👍 pour la conservation des OMEGA 3)",Cure d'OMEGA 3 prometteuse!,Commenté en France le 19 septembre 2023,True,"5,0"
B0BZVWHB6Y,"J'ai commandé ce produit dans le cadre de mon activité de fitness et je ne regrette pas mon achat. Contrairement à d'autres marques il n'y a pas d'odeur à l'ouverture de la bouteille, et je prends deux gélules par jours pour préserver mes articulations.",Satisfait du produit,Commenté en France le 27 septembre 2023,True,"5,0"
B0BZVWHB6Y,J'adore le côté pratique du flacon et la facilité pour prendre les gellules. La cure a une très bonne saveur ce qui est important pour tenir sur la longueur. Je ressens les effets après quelques jours avec une les Omega3 pour booster ma forme.,Une bonne cure pour se remettre en forme !,Commenté en France le 23 septembre 2023,True,"5,0"
B0BZVWHB6Y,L’emballage en verre est sécurisant (pas de bpa).Je garde les gélules au frigo. Les gélules sont petites donc faciles à avaler.A voir dans le temps pour les effets sur coeur et cerveau. 👍🏻,Emballage en verre,Commenté en France le 27 septembre 2023,True,"5,0"
B0BZVWHB6Y,"J’ai testé le produit et je suis super satisfait. Aucun arrière goût de poisson , digestion facile pas comme certain oméga 3 du commerce , je recommande 👌",Impeccable,Commenté en France le 26 septembre 2023,True,"5,0"
B0BZVWHB6Y,"Concentré d'acides gras EPA et DHA , donc bon pour mon cerveau. Cure d'un mois. Je recommande",Produit simple d'utilisation,Commenté en France le 28 septembre 2023,True,"5,0"
B0BZVWHB6Y,Omega 3 de grande qualité par la liste des ingrédients et fabrication française de quoi être rassuré une équipe au petit soin je recommande !,Omega 3,Commenté en France le 25 septembre 2023,True,"5,0"
B0BZVWHB6Y,"Reste plus qu’à essayer mais semble être un bon produit. Sans OGM , contenant en verre et obscure afin de conserver les compléments à l’intérieur, livraison extrêmement rapide! Merci beaucoup!",Super,Commenté en France le 21 septembre 2023,True,"5,0"
B0BZVWHB6Y,Excellent produit que je recommande !,Top,Commenté en France le 3 octobre 2023,True,"5,0"
B00EXPT3HE,I really like the easy-to-swallow size of these and that they are odourless and tasteless.,So far so good,Commenté au Royaume-Uni le 29 août 2023,True,"5,0"
B00EXPT3HE,I use this product to help control LDL cholesterol in conjunction with CoQ10. I get the same results from one of these softgels per day as I did taking six “triple strength” Omega 3 softgels ( from a good source) per day,Good value,Commenté au Royaume-Uni le 5 mai 2019,True,"5,0"
B00EXPT3HE,"The best I have bought, will continue to buy this. My partner struggles swallowing huge tablets so the small tablets appealed to me the most!",Very good,Commenté au Royaume-Uni le 7 août 2020,True,"5,0"
B00EXPT3HE,"Nice fish oil product, I have tried many.This one is ok.",Nice fish oil product.,Commenté au Royaume-Uni le 16 juin 2019,True,"3,0"
B00EXPT3HE,Seal was broken upon opening and pills clumped together. For such a high price I am not satisfied.,Seal was broken.,Commenté au Royaume-Uni le 25 avril 2022,True,"1,0"
B00EXPT3HE,Al poco tiempo de tomarlas ya notas los efectos. Si practicas deporte con alto desgaste o estás por encima de la treintena no dudes en probarlas.,Producto de calidad,Commenté en Espagne le 5 juin 2017,True,"5,0"
B00EXPT3HE,Very good product,Fast delivery,Commenté au Royaume-Uni le 23 mai 2019,True,"5,0"
B00EXPT3HE,"Excellent product, can feel benefits already",Five Stars,Commenté au Royaume-Uni le 15 novembre 2014,True,"5,0"
B00EXPT3HE,Omega 3 is so so good for you!! This price is not bad but it's similar to others I've bought!!!  So happy days,Happy days,Commenté au Royaume-Uni le 28 janvier 2020,False,"5,0"
B0BZVWHB6Y,Vive les sardines !,Ras,Commenté en France le 30 septembre 2023,True,"5,0"
B0BZVWHB6Y,"Cette cure dure 4 mois, les capsules sont de taille raisonnable . Attention à bien les conserver au réfrigérateur le temps de son utilisationNous sommes dépourvus en oméga 3 de part notre alimentation, aussi je fais toujours une cure dans l’hiver pour rééquilibrer sa part avec mes oméga 6 que je consommeEncore une fois je suis ravie de cette cure Beauty and Wild qui  fabrique en France de manière Eco responsableNous sommes sur des capsules sans OGM, sans gluten et sans lactoseLe plus important est le poisson utilisé qui est d’origine sauvageJe recommande donc cette cure dont je suis satisfaite",Naturel avec une Très bonne efficacité,Commenté en France le 7 août 2023,True,"5,0"
B0BZVWHB6Y,"Une qualité vraiment super, je suis contente de mon achat, les omega 3 sont important pour la santé du cœur. Je reste fidèle à cette marque qui ne m'as jamais déçu",Des compléments de qualités,Commenté en France le 11 septembre 2023,True,"5,0"
B0BZVWHB6Y,"Bon produit, fabrication française, envoi rapide et packaging de bonne qualité pour une conservation longue durée.",Produit français de qualité,Commenté en France le 19 septembre 2023,True,"5,0"
B0BZVWHB6Y,"Très bon produit, qui plus est, fabriqué en France !",Très bon produit,Commenté en France le 21 septembre 2023,True,"5,0"
B0BZVWHB6Y,ces omégas 3 possèdent une composition idéale pour m’aider à renforcer mon système  immunitaire fragilisé par les traitements chimiques. J’ai apprécié également le packaging sombre et en verre qui ne font qu’améliorer le contenu des gélules 👍,Très bon complémentaire santé,Commenté en France le 5 septembre 2023,True,"5,0"
B0BZVWHB6Y,la commande a été rapide et sérieuse. merci,commande impeccable dans tous les sens du terme! merci!!!,Commenté en France le 21 septembre 2023,True,"5,0"
B0BZVWHB6Y,"Un très bon produit, deux capsules par jour en plus sans Ogm, la bouteille est de qualité en verre pas en plastique 👍🏼👍🏼👍🏼👍🏼👍🏼",Parfait,Commenté en France le 13 septembre 2023,True,"5,0"
B0BZVWHB6Y,"Top, gélules faciles à avaler",Top,Commenté en France le 21 septembre 2023,True,"5,0"
B0BZVWHB6Y,Très bon produit a essayé,Oméga 3,Commenté en France le 14 septembre 2023,True,"5,0"
B00EXPT3HE,I really like the easy-to-swallow size of these and that they are odourless and tasteless.,So far so good,Commenté au Royaume-Uni le 29 août 2023,True,"5,0"
B00EXPT3HE,I use this product to help control LDL cholesterol in conjunction with CoQ10. I get the same results from one of these softgels per day as I did taking six “triple strength” Omega 3 softgels ( from a good source) per day,Good value,Commenté au Royaume-Uni le 5 mai 2019,True,"5,0"
B00EXPT3HE,"The best I have bought, will continue to buy this. My partner struggles swallowing huge tablets so the small tablets appealed to me the most!",Very good,Commenté au Royaume-Uni le 7 août 2020,True,"5,0"
B00EXPT3HE,"Nice fish oil product, I have tried many.This one is ok.",Nice fish oil product.,Commenté au Royaume-Uni le 16 juin 2019,True,"3,0"
B00EXPT3HE,Seal was broken upon opening and pills clumped together. For such a high price I am not satisfied.,Seal was broken.,Commenté au Royaume-Uni le 25 avril 2022,True,"1,0"
B00EXPT3HE,Al poco tiempo de tomarlas ya notas los efectos. Si practicas deporte con alto desgaste o estás por encima de la treintena no dudes en probarlas.,Producto de calidad,Commenté en Espagne le 5 juin 2017,True,"5,0"
B00EXPT3HE,Very good product,Fast delivery,Commenté au Royaume-Uni le 23 mai 2019,True,"5,0"
B00EXPT3HE,"Excellent product, can feel benefits already",Five Stars,Commenté au Royaume-Uni le 15 novembre 2014,True,"5,0"
B00EXPT3HE,Omega 3 is so so good for you!! This price is not bad but it's similar to others I've bought!!!  So happy days,Happy days,Commenté au Royaume-Uni le 28 janvier 2020,False,"5,0"
